FB_NR,BFS_WENKER,ORTSNAME,X,Y,,,Bezirk,Kanton,Transkription
42741,4436_1,Romanshorn,746032,270134,"47.56566, 9.37932",,Arbon,TG,ja
42742,4416_1,Hatswil,741944,268937,,,Arbon,TG,ja
42743,4441_2,Salmsach,745421,268971,,,Arbon,TG,ja
42744,4441_1,Hungerbühl,744449,268255,,,Arbon,TG,ja
42745,4411_1,Egnach,746367,267729,,,Arbon,TG,ja
42746,4411_5,Steinebrunn,743373,266560,,,Arbon,TG,ja
42747,4411_3,Neukirch,745428,266007,,,Arbon,TG,ja
42748,4401_2,Frasnacht,748034,266046,,,Arbon,TG,ja / in Bearb.
42749,4401_1,Arbon,750492,264623,,,Arbon,TG,ja
42750,4431_2,Roggwil ,747445,262879,,,Arbon,TG,ja
42767,4431_1,Freidorf,747526,261173,,,Arbon,TG,ja
42768,3215_1,Rorschach,754791,260686,,,Rorschach,SG,ja
42769,3214_1,Mörschwil,749666,259397,,,Rorschach,SG,ja
42770,3204_1,Wittenbach,746995,258740,,,SG,SG,ja
42771,3219_1,Untereggen,751754,257868,,,Rorschach,SG,ja
42772,3442_1,Engelburg,638575,242841,,,Gossau,SG,ja
42773,3212_2,Eggersriet,753348,256636,,,Rorschach,SG,ja
42774,3034_1,Kaien,755665,254979,,,Vorderland,AR,ja
42775,3034_2,Robach,752868,255451,,,Vorderland,AR,ja
42776,3034_3,Rehetobel,754220,254826,,,Vorderland,AR,ja
42777,3203_1,St. Gallen,746282,254306,,,SG,SG,ja / ja
42778,4421_1,Horn,752507,262262,,,Arbon,TG,ja
42785,3237_1,Altenrhein,759186,262057,,,Unterrheintal,SG,ja
42786,3237_2,Thal,760630,259258,,,Unterrheintal,SG,ja
42787,3235_1,Rheineck,762223,259621,,,Unterrheintal,SG,ja
42788,3033_1,Lutzenberg,761730,258746,,,Vorderland,AR,ja
42789,3212_1,Grub ,756522,257985,,,Rorschach,SG,ja
42790,3038_1,Wolfhalden,759272,258035,,,Vorderland,AR,ja
42791,3031_1,Grub ,756040,257264,,,Vorderland,AR,ja
42792,3032_1,Heiden,757825,256855,,,Vorderland,AR,ja
42793,3038_2,Tanne Gm. Wolfhalden,759779,257135,,,Vorderland,AR,ja
42794,3037_1,Walzenhausen,763095,257843,,,Vorderland,AR,ja
42795,3231_2,Au,585557,204469,,,Unterrheintal,SG,ja
42796,3111_1,Oberegg,759569,254536,,,,AI,ja
42797,3038_4,Zelg Gm. Wolfhalden,761136,258010,,,Vorderland,AR,ja
42817,3036_1,Wald ,754825,253687,,,Vorderland,AR,ja
42818,3025_1,Trogen,752903,252760,,,Mittelland,AR,ja
42819,3024_1,Teufen ,747323,250642,,,Mittelland,AR,ja
42820,3005_1,Stein ,743955,248824,,,Hinterland,AR,ja
42821,3022_1,Gais,752021,247518,,,Mittelland,AR,ja / ja
42822,3232_1,Balgach,763751,253108,,,Unterrheintal,SG,ja
42827,3251_4,Lüchingen 2,759765,250631,,,Oberrheintal,SG,ja
42828,3234_1,Diepoldsau,767320,250716,,,Unterrheintal,SG,ja
42829,3251_1,Altstätten,758922,249652,,,Oberrheintal,SG,ja
42830,3251_5,Warmesberg,756444,248053,,,Oberrheintal,SG,ja
42831,3254_1,Hard,757457,244956,,,Oberrheintal,SG,ja
42832,3254_2,Oberriet ,761193,243557,,,Oberrheintal,SG,ja
42833,3254_3,Montlingen,762533,244858,,,Oberrheintal,SG,
42834,3231_1,Heerbrugg (nur Brief),765159,253367,,,Unterrheintal,SG,
42838,3035_3,Mohren Gm. Reute,761090,252790,,,Vorderland,AR,ja
42838,3035_1,Reute ,761110,254294,,,Vorderland,AR,
42838,3035_2,Schachen Gm. Reute,759990,254930,,,Vorderland,AR,
42872,3256_1,Rüthi ,758818,240315,,,Oberrheintal,SG,ja
