FB_NR,BFS_WENKER,ORTSNAME,X,Y,,,Bezirk,Kanton,Transkription
44621,4921_4,Schmidshof,721712,267324,,,Weinfelden,TG,
44706,4258_1,Rheinfelden,626355,266628,,,Rheinfelden,AG,
44870,4119_1,Ursprung,654149,259435,,,Brugg,AG,
44881,4120_2,Veltheim 2,653464,254409,,,Brugg,AG,
44900,4021_3,Dättwil 2,663837,256098,,,Baden,AG,
44904,4113_2,Scherz 2,656282,255352,,,Brugg,AG,
44950,4005_1,Erlinsbach (Ober-),642947,250698,,,Aarau,AG,
44958,4207_2,Schafisheim 2,653176,247627,,,Lenzburg,AG,
44964,4010_2,Oberentfelden 2,645939,245151,,,Aarau,AG,
44966,4006_2,Gränichen 2,649879,245836,,,Aarau,AG,
45020,4282_2,Rothrist 2,633312,239603,,,Zofingen,AG,
45091,2527_1,Luterbach,610819,229215,,,Wasseramt,SO,
45093,2516_2,Deitingen,613608,228832,,,Wasseramt,SO,
45227,908_5,Ried Gm. Trub,634401,200129,,,Signau,BE,
45332,410_2,Höchstetten-Hellsau,614671,221478,,,Burgdorf,BE,
45333,410_1,Höchstetten,614671,221478,,,Burgdorf,BE,
46133,6007_1,Naters,642316,130630,,,Brig,VS,ja
42823/24,3255_1,Rebstein,761795,251945,,,Oberrheintal,SG,ja
42825/26,3251_3,Lüchingen,759765,250631,,,Oberrheintal,SG,ja
44642/43,53_1,Bülach,682668,264267,,,Bülach,ZH,
44715/16,4261_1,Wallbach,634858,267584,,,Rheinfelden,AG,
44833/34,2481_1,Witterswil,606351,259376,,,Dorneck,SO,
44863/64,2492_1,Kienberg,639919,254350,,,Gösgen,SO,
45043/44,4275_2,Kirchleerau 2,647237,236355,,,Zofingen,AG,
45363/64,176_2,Grafstal,695151,255630,,,Pfäffikon,ZH,
45587/88,6_1,Uerzlikon,680192,230767,,,Affoltern,ZH,
45621/23,1346_1,Schübelbach,713893,226026,,,March,SZ,
45712/13,2291_1,Alterswil,586386,182651,,,Sense,FR,ja
46075/76,3923_1,Castiel,765340,189924,,,Plessur,GR,
Liechtenstein,,,,,,,,,
42972/73,,Balzers-Mäls,,,,,,LI,ja
42913/14,,Eschen,,,,,,LI,
42907/08,,Gamprin,,,,,,LI,
42909/10,,Mauren,,,,,,LI,
42915/16,,Nendeln,,,,,,LI,
42905/06,,Planken,,,,,,LI,
42901/02,,Ruggell,,,,,,LI,
42917,,Schaan,,,,,,LI,
42911/12,,Schaanwald,,,,,,LI,
42903/04,,Schellenberg,,,,,,LI,
42949/50,,Triesen,,,,,,LI,
42947/48,,Triesenberg,,,,,,LI,
42946,,Vaduz,,,,,,LI,
